date,open,high,low,close,volume
2025-05-21,342.9286,344.6896,337.992,338.8428,2093400
2025-05-22,338.3383,343.6508,336.9434,341.4941,2174100
2025-05-23,334.0151,341.2468,332.6399,339.7134,1936600
2025-05-27,346.2032,349.5569,342.9088,347.7465,2240100
2025-05-28,348.716,349.0226,345.1248,345.7481,1924400
2025-05-29,348.4291,349.3096,345.0061,348.0235,2290300
2025-05-30,348.063,349.458,343.3045,344.3037,4867100
2025-06-02,342.7604,342.7604,335.865,340.9797,2552700
2025-06-03,342.2955,347.0836,341.227,345.6591,2614300
2025-06-04,346.5494,347.9641,345.5898,345.5898,1616300
2025-06-05,347.2419,347.7465,342.1471,345.2238,1753300
2025-06-06,349.7844,353.613,348.4885,349.5668,1608000
2025-06-09,351.4168,356.6007,350.1406,354.2363,2147100
2025-06-10,355.5916,356.5017,352.2774,354.7309,1894300
2025-06-11,357.0755,360.3896,353.9196,359.252,2551700
2025-06-12,355.9972,358.1241,354.0384,357.0953,1571800
2025-06-13,353.4052,356.5215,351.8916,353.2271,1609600
2025-06-16,357.1349,360.7062,356.3434,358.5594,1579800
2025-06-17,356.8579,358.51,353.2074,353.8504,1560100
2025-06-18,353.3063,360.3303,353.1381,355.9477,2000500
2025-06-20,359.064,360.35,355.2948,356.66,6268300
2025-06-23,356.0665,363.1696,353.8999,362.3089,2927400
2025-06-24,365.9297,370.1045,363.9808,369.0262,3841800
2025-06-25,369.0064,370.1836,365.5537,367.6016,1737700
2025-06-26,369.9957,378.2365,369.046,377.7913,2575100
2025-06-27,378.9191,383.3412,378.652,380.591,4455000
2025-06-30,382.1739,384.9835,380.6899,384.0535,2791400
2025-07-01,382.4508,389.6727,380.1359,386.7345,2393600
2025-07-02,388.4955,394.3719,385.2506,394.1641,2713700
2025-07-03,394.6489,398.1114,393.3331,393.6002,1737800
2025-07-07,393.7981,393.7981,383.9348,387.3182,3012900
2025-07-08,388.2283,391.7107,387.3281,390.0685,2003600
2025-07-09,395.4403,399.437,392.6307,397.8739,3101000
2025-07-10,400.3274,407.5888,399.1205,403.9581,3382800
2025-07-11,401.1089,402.5236,397.3991,401.5739,2072600
2025-07-14,399.6745,402.4346,397.9234,401.4255,2497500
2025-07-15,401.9103,404.3736,398.705,400.3076,2167000
2025-07-16,400.6638,408.6474,399.0018,408.4594,3242100
2025-07-17,410.4182,415.4042,408.4594,413.5938,2444700
2025-07-18,414.2171,415.4042,407.7471,409.2805,2526600
2025-07-21,414.265,414.4735,406.9372,407.1656,1833300
2025-07-22,407.4734,415.5557,407.4734,414.2352,2185000
2025-07-23,417.0253,425.1275,416.4792,424.5615,3254900
2025-07-24,424.0154,427.1133,421.4934,426.4778,2511400
2025-07-25,426.6466,431.7899,425.5842,430.6779,2218400
2025-07-28,428.1956,433.3091,428.0665,429.8736,2550300
2025-07-29,431.4722,432.1275,421.7912,427.0041,2383700
2025-07-30,426.9544,433.7361,423.4097,431.0453,3172600
2025-07-31,431.0552,438.0255,430.6084,434.9176,4116400
2025-08-01,423.9459,427.8083,418.3061,425.6537,4027300
2025-08-04,427.8083,433.7956,426.9445,430.6282,4059500
2025-08-05,424.6211,436.6255,423.5488,431.1545,4329900
2025-08-06,430.2708,431.6311,422.526,424.6906,2630800
2025-08-07,423.8168,424.3033,407.0564,414.1656,4261100
2025-08-08,417.5416,418.9118,412.8153,413.5699,2965200
2025-08-11,414.0266,415.3274,403.9187,405.6464,3416000
2025-08-12,408.089,415.2281,406.7387,409.7869,2765100
2025-08-13,412.2394,412.5969,407.6323,410.7699,4403000
2025-08-14,406.401,416.2706,404.1173,414.543,3676000
2025-08-15,412.7756,413.6096,404.2166,404.9017,3107400
2025-08-18,404.1173,410.2138,402.5882,409.7174,3185200
2025-08-19,416.3401,418.8919,411.1273,413.1429,3543600
2025-08-20,411.8621,418.9317,409.1316,417.6111,4060200
2025-08-21,416.9557,417.6011,411.2266,414.9302,2504300
2025-08-22,418.6238,434.7389,417.0749,432.5843,3785100
2025-08-25,431.919,433.8056,429.1091,429.2381,1857900
2025-08-26,428.3445,429.1289,424.214,428.2055,2792200
2025-08-27,426.6864,431.9786,425.9119,429.6055,1970900
2025-08-28,431.8297,432.8921,429.5658,431.8297,1651700
2025-08-29,422.397,425.0679,411.4351,416.0721,3673800
2025-09-02,410.9784,414.255,407.6124,413.1032,2329500
2025-09-03,415.1685,415.1685,408.4564,412.1798,1496700
2025-09-04,412.8649,417.8097,411.3557,417.2437,1634600
2025-09-05,417.8593,421.8905,414.95,420.0834,1843200
2025-09-08,419.6565,420.9076,413.8281,419.7856,1876700
2025-09-09,420.1629,420.5501,413.4905,415.1288,1710700
2025-09-10,416.8465,423.4792,416.5288,419.9146,2221000
2025-09-11,420.9175,432.7034,420.3218,428.3247,2737900
2025-09-12,426.0211,429.5459,424.7204,428.4637,2341800
2025-09-15,430.7573,435.6425,427.5601,432.8524,2255800
2025-09-16,433.041,437.6779,431.2041,437.5489,2366300
2025-09-17,441.8482,449.1362,439.8624,447.4681,4512200
2025-09-18,447.766,464.3973,445.6908,463.6526,4331900
2025-09-19,466.9293,468.7761,459.4328,463.2357,5069300
2025-09-22,464.0002,469.8882,456.3547,468.7563,3180000
2025-09-23,469.908,481.9025,464.8739,467.9222,3856600
2025-09-24,469.352,473.1449,465.3108,466.4626,2776700
2025-09-25,461.4186,464.6853,456.3249,460.4356,2979200
2025-09-26,462.1831,465.1321,459.1051,462.4612,2329000
2025-09-29,464.7647,469.1435,464.1491,468.2697,2892100
2025-09-30,468.2796,474.0584,466.9094,473.7705,2315300
2025-10-01,470.6527,480.5024,467.8031,477.4145,2964700
2025-10-02,483.4117,492.4671,480.7606,487.0955,2648600
2025-10-03,489.7565,500.9069,489.0416,494.3239,2996500
2025-10-06,496.8757,502.009,489.5479,491.8714,2629200
2025-10-07,494.4033,494.8501,480.1252,483.2628,2135400
2025-10-08,487.5125,505.8715,485.8741,498.5636,3959400
2025-10-09,500.4899,502.9424,493.6189,496.8161,3113900
2025-10-10,499.5565,507.8772,487.8203,487.8203,3889100
2025-10-13,498.5934,502.7935,491.9409,501.185,2618400
2025-10-14,497.0345,527.7951,495.4756,523.734,5459800
2025-10-15,530.4164,534.6363,523.4759,530.2675,3447100
2025-10-16,534.2491,541.13,530.9129,537.1286,3463100
2025-10-17,533.5739,538.3697,523.2376,523.3469,2814700
2025-10-20,527.32,531.9404,524.7111,528.9331,2170800
2025-10-21,522.8489,531.1238,519.8317,522.4307,2259100
2025-10-22,523.5062,523.5759,508.0518,511.7362,4149000
2025-10-23,516.1375,520.6782,510.84,518.2983,2619400
2025-10-24,520.6483,524.9998,518.8161,520.5189,2392000
2025-10-27,524.8206,527.2303,519.2244,524.8405,2493800
2025-10-28,523.7352,528.0469,519.4633,522.2515,2775400
2025-10-29,555.8189,593.6881,555.6397,583.0134,6948500
2025-10-30,575.4455,591.2584,573.3345,580.6833,2574800
2025-10-31,581.5596,584.5667,568.9331,574.8182,2974800
2025-11-03,573.4938,573.7826,562.9984,568.1765,2439400
2025-11-04,562.61,564.1037,542.8938,545.2637,3440700
2025-11-05,549.6053,571.582,548.032,566.7426,2701300
2025-11-06,570.7754,581.5197,561.8433,567.3699,2245800
2025-11-07,561.1662,563.1876,548.0021,560.7181,2320100
2025-11-10,567.5889,571.7512,559.1348,568.4353,1829900
2025-11-11,566.3143,568.037,557.8901,565.5276,1517400
2025-11-12,568.0868,578.8112,568.0868,570.5961,2645100
2025-11-13,570.3472,574.38,542.3262,551.2084,3458700
2025-11-14,546.6379,555.9483,538.7116,551.6865,2764500
2025-11-17,550.2525,559.2145,545.2538,549.7148,1941100
2025-11-18,541.0516,549.2369,535.774,544.5667,1918600
2025-11-19,547.6735,558.5373,545.3235,550.7703,1880900
2025-11-20,563.556,566.4636,538.7115,543.8198,3195000
2025-11-21,543.5112,552.6424,534.8082,548.1017,2921600
2025-11-24,549.7945,563.3469,548.3406,557.2328,4653500
2025-11-25,562.2018,564.741,545.2339,564.2133,3105100
2025-11-26,564.2132,572.4483,563.6258,571.3031,1995100
2025-11-28,571.3628,574.9177,569.9788,573.3245,1019500
2025-12-01,567.9971,573.1553,564.6016,565.6571,1764500
2025-12-02,568.9133,583.0831,566.6529,580.0061,2749500
2025-12-03,578.9407,590.7306,559.8319,588.988,2545700
2025-12-04,587.6836,600.1705,584.517,596.6157,2313600
2025-12-05,601.4451,604.4324,595.2116,600.6186,2177300
2025-12-08,602.1023,602.2915,589.4261,593.9768,1822500
2025-12-09,590.5414,597.452,589.7248,591.8458,1755300
2025-12-10,597.5914,614.6191,596.1575,612.747,2797900
2025-12-11,607.8678,624.1586,601.704,622.9637,2779500
2025-12-12,623.352,624.8457,593.2599,595.361,4581100
2025-12-15,599.9813,601.5945,585.4032,587.2653,3968600
2025-12-16,588.2014,596.1277,583.8001,586.4388,2319400
2025-12-17,585.1045,588.5001,555.102,559.5132,3753300
2025-12-18,566.0952,572.2291,559.5331,563.4365,2193000
2025-12-19,570.2676,579.2693,567.9176,573.7826,5355600
2025-12-22,582.0176,583.3121,573.2549,579.9464,2387700
2025-12-23,578.0445,586.2198,578.0445,579.9564,1731000
2025-12-24,580.1953,584.6465,578.5424,581.2907,947000
2025-12-26,580.7431,581.3604,576.2024,580.5339,954400
2025-12-29,577.6363,581.4998,572.2093,576.1625,2585700
2025-12-30,577.5565,578.5224,573.0756,574.9476,1216700
2025-12-31,574.858,576.4911,569.6302,570.4468,1163900
2026-01-02,575.1468,597.0737,572.8765,595.8787,2761600
2026-01-05,605.3087,619.12,603.6557,613.4939,3444800
2026-01-06,613.3943,624.1188,606.3244,620.4543,2706800
2026-01-07,620.3647,622.3563,593.2599,593.9968,3312400
2026-01-08,593.9967,607.0015,591.6566,605.5576,2075400
2026-01-09,607.3898,616.5311,605.6274,615.0075,1822000
2026-01-12,612.05,628.3109,610.3672,627.1061,1856800
2026-01-13,630.5216,641.8634,630.3224,633.8375,1959100
2026-01-14,631.4177,637.0239,620.4344,636.0481,2105700
2026-01-15,642.2119,649.6005,641.3157,644.4424,2052800
2026-01-16,649.2121,652.9064,638.2985,644.1536,2554900
2026-01-20,640.78,642.876,623.9321,627.8047,2659000
2026-01-21,632.4659,645.9702,626.128,644.1537,2490700
2026-01-22,647.8765,654.5339,639.6822,647.1779,1565700
2026-01-23,642.8961,645.2716,622.3851,625.4293,2267800
2026-01-26,626.8067,637.7858,618.0833,634.7116,2532900
2026-01-27,638.7839,642.906,632.0267,637.6959,1827500
2026-01-28,636.7577,646.0501,627.7848,642.0577,2720700
2026-01-29,653.925,678.6979,641.5087,663.9759,4441900
2026-01-30,654.4042,676.542,649.0743,656.1109,3300100
2026-02-02,658.5662,690.0662,656.1807,689.5971,4450000
2026-02-03,693.0406,708.6808,690.0862,701.5544,3524700
2026-02-04,705.6566,721.7858,673.7174,690.5054,7146700
2026-02-05,680.2449,685.1955,663.8062,677.0211,2792800
2026-02-06,691.254,726.0178,689.2079,724.8201,3359700
2026-02-09,723.1233,742.0872,720.2388,740.7098,2496800
2026-02-10,741.3386,750.5711,736.2683,740.9594,4008700
2026-02-11,757.2383,774.0663,754.6632,773.5273,3926300
2026-02-12,775.2141,788.3092,754.5734,756.8491,4893400
2026-02-13,763.5464,782.5102,745.9997,772.7289,3232800
2026-02-17,763.5464,772.9484,748.5749,763.3068,3450300
2026-02-18,763.6561,771.2317,748.9541,750.5411,2563700
2026-02-19,750.5711,760.5521,742.736,759.0849,2908000
2026-02-20,753.5653,770.5031,750.6808,758.2963,2095100
2026-02-23,757.5079,766.5207,751.3496,755.0325,2289600
2026-02-24,753.5654,772.4694,750.2617,766.7702,2615300
2026-02-25,771.0321,776.1224,755.302,765.1533,2606500
2026-02-26,769.1457,769.1457,727.0159,751.4993,3350900
2026-02-27,743.8039,750.062,729.6509,741.4185,3441900
2026-03-02,732.0962,754.2939,723.6822,750.8904,2473100
2026-03-03,726.8862,730.2797,705.2573,720.8077,3332700
2026-03-04,735.6894,744.5925,729.4513,730.5791,2823700
2026-03-05,718.6319,726.6865,692.2621,704.7383,3713200
2026-03-06,681.1732,695.0069,673.7873,679.6062,3564400
2026-03-09,663.9559,707.2835,661.5904,703.4807,3584400
2026-03-10,711.4256,729.4014,708.9304,715.3182,3089100
2026-03-11,712.1442,719.0511,702.293,706.2455,1947500
2026-03-12,691.6832,702.4327,678.4684,699.3586,3231800
2026-03-13,703.0016,705.5867,685.8742,692.6713,2042200
2026-03-16,704.0297,708.6509,693.2801,698.4503,2145500
2026-03-17,706.0159,707.6528,693.5895,700.6661,1824900
2026-03-18,699.9774,710.4874,691.3838,692.302,1796200
2026-03-19,675.2045,692.1722,667.7287,687.3414,2240200
2026-03-20,685.3253,692.7411,669.166,679.5862,5131100
2026-03-23,697.6718,710.6471,693.2402,700.3666,2981000
2026-03-24,692.4816,719.7797,691.7131,715.2682,2098300
2026-03-25,725.8681,727.9641,715.6375,717.6736,1591500
2026-03-26,708.7208,716.6057,695.1067,701.8538,2428700
2026-03-27,693.1503,707.0139,691.0144,694.0786,2059800
2026-03-30,700.8757,701.6542,663.3072,666.1617,2610000
2026-03-31,678.7079,707.543,670.7231,707.1138,3002200
2026-04-01,720.6281,738.6038,718.3723,728.9323,2435800
2026-04-02,704.2293,734.0126,704.1095,715.8571,1764300
2026-04-06,715.3781,721.197,702.9318,719.8695,1246500
2026-04-07,718.2227,724.3509,707.5829,723.0634,1549100
2026-04-08,763.1671,772.9285,751.669,770.1139,3014000
2026-04-09,771.5311,794.0084,771.5211,785.5744,2801900
2026-04-10,789.1676,796.3339,784.746,789.1576,1872000
2026-04-13,786.9218,797.0226,783.8377,790.2255,1820100
2026-04-14,794.4875,796.4837,780.554,792.7408,1866300
2026-04-15,785.6043,788.4688,755.2122,768.7065,2764700
2026-04-16,766.5407,771.3415,753.0164,771.1918,2005100
2026-04-17,779.0269,800.2465,774.5254,793.14,2818800
2026-04-20,790.9,799.63,786.83,798.4,1454100
2026-04-21,804.88,820.2,797.79,800.45,1801108
