date,open,high,low,close,volume
2025-08-18,178.2733,179.0211,176.9272,177.0967,675600
2025-08-19,178.024,182.1421,177.6451,182.0324,745800
2025-08-20,182.4313,184.6947,182.1122,184.1662,792400
2025-08-21,184.3457,185.5123,183.3486,183.4184,657400
2025-08-22,183.7973,185.6519,181.9726,185.0437,627200
2025-08-25,184.4155,185.0935,182.162,183.3486,793500
2025-08-26,182.6805,183.4682,180.6564,180.9256,977800
2025-08-27,181.0054,183.0594,179.7989,181.8828,672600
2025-08-28,181.833,181.9028,179.9385,180.6963,945400
2025-08-29,180.4271,181.8429,179.9086,181.0552,599500
2025-09-02,180.0071,182.7222,179.7775,181.185,533800
2025-09-03,180.5661,181.6242,180.097,181.2449,520800
2025-09-04,181.9137,186.1561,180.636,185.3475,742700
2025-09-05,186.0063,190.4783,185.5771,189.7796,654900
2025-09-08,189.6598,189.6598,184.2096,185.4274,637000
2025-09-09,184.509,186.4755,180.2267,186.0962,461400
2025-09-10,186.2359,187.4937,181.5643,185.7269,1086000
2025-09-11,186.4156,190.8576,185.8366,190.4484,675400
2025-09-12,189.2405,192.7842,187.9429,191.3767,736600
2025-09-15,191.197,191.8359,187.9029,189.2405,657900
2025-09-16,190.0092,191.1871,185.4074,185.9265,636200
2025-09-17,186.5454,190.8277,184.6687,187.0545,518400
2025-09-18,187.0744,188.6017,186.1062,187.7732,562500
2025-09-19,187.5835,188.8512,186.4456,188.3022,1396400
2025-09-22,189.3504,194.4612,188.1425,193.8123,720600
2025-09-23,193.7924,197.1863,192.6544,194.3713,670200
2025-09-24,193.9721,200.3506,193.9721,199.3424,776500
2025-09-25,199.592,199.7916,193.6726,197.2661,759600
2025-09-26,198.3841,200.71,196.6672,200.4904,452100
2025-09-29,200.141,201.3388,198.3742,200.71,770600
2025-09-30,200.8497,205.3716,200.6401,204.0739,671800
2025-10-01,203.5848,204.3435,200.5403,203.1456,581200
2025-10-02,202.3969,206.9488,202.2871,205.172,597700
2025-10-03,205.8408,208.2664,205.152,206.8689,585600
2025-10-06,206.799,209.3545,206.1502,206.4696,588700
2025-10-07,208.506,212.4888,207.2782,209.3245,536000
2025-10-08,208.7456,209.2746,204.2836,204.8326,496800
2025-10-09,205.711,206.1602,200.8996,201.239,739500
2025-10-10,202.2073,202.5666,195.5991,195.7589,720800
2025-10-13,198.1146,199.4123,195.6291,197.4059,548600
2025-10-14,196.4975,204.034,195.4095,203.4451,433900
2025-10-15,203.4451,205.162,201.9378,204.6329,422900
2025-10-16,204.7128,205.3816,203.3452,203.8743,369200
2025-10-17,203.7046,204.9424,201.4786,204.1937,377400
2025-10-20,205.132,207.7873,204.2636,206.8689,297000
2025-10-21,207.1185,208.2764,205.9007,206.4297,331900
2025-10-22,206.819,210.7619,206.819,210.0233,531600
2025-10-23,207.7274,210.7619,206.839,208.2564,500900
2025-10-24,211.4806,213.7166,200.3406,210.3027,943200
2025-10-27,211.0514,213.8963,209.6539,213.6468,925200
2025-10-28,219.7059,226.3141,211.271,218.9273,1422400
2025-10-29,217.41,226.8131,217.3102,224.8966,1020200
2025-10-30,223.8485,226.7533,217.7694,218.2984,657800
2025-10-31,217.3901,219.7458,215.2539,216.6214,507900
2025-11-03,219.8357,220.3647,215.7031,220.3048,695100
2025-11-04,219.676,226.4738,219.2068,223.7886,763300
2025-11-05,222.0417,227.6716,220.8538,227.5418,650800
2025-11-06,225.7251,227.8513,223.8485,225.9846,418800
2025-11-07,226.6734,229.3486,224.8966,228.8195,573200
2025-11-10,218.1088,223.7387,216.871,222.2413,976300
2025-11-11,223.4292,225.8249,221.1134,224.0082,505500
2025-11-12,223.9483,230.9557,223.6788,228.011,494100
2025-11-13,227.9411,229.9176,223.6189,227.1625,492500
2025-11-14,227.5418,227.5718,223.1098,224.637,524000
2025-11-17,223.4991,228.8195,221.303,226.0944,862200
2025-11-18,225.6253,228.9393,223.7985,228.4302,686000
2025-11-19,228.6599,229.5782,222.7005,227.5319,711100
2025-11-20,228.4702,230.5165,224.7868,224.9764,1011000
2025-11-21,227.0926,235.0584,227.0427,231.5047,679500
2025-11-24,235.5375,239.4505,233.581,236.5257,924100
2025-11-25,238.033,245.0005,237.5738,243.3036,645700
2025-11-26,242.5948,245.8889,242.5948,243.7428,425300
2025-11-28,244.3916,245.5595,241.2073,243.1938,541200
2025-12-01,242.1148,245.2817,239.1976,239.1976,900400
2025-12-02,243.4535,244.3526,237.0997,238.4484,858700
2025-12-03,238.2086,238.2086,229.607,229.9267,602100
2025-12-04,228.8777,232.0846,227.7787,230.3662,475600
2025-12-05,232.634,232.634,229.3772,230.8558,398000
2025-12-08,230.556,230.556,224.412,225.9106,763100
2025-12-09,226.8197,229.9366,224.0723,225.1313,496200
2025-12-10,224.9315,225.3311,219.7266,222.6337,794900
2025-12-11,223.7926,224.7017,220.0263,224.3621,730200
2025-12-12,224.392,225.7807,220.7256,222.384,763800
2025-12-15,222.2141,225.0714,219.7965,223.6527,1131100
2025-12-16,223.363,225.0214,221.4049,222.424,952500
2025-12-17,220.8555,225.5409,219.4768,224.6817,861200
2025-12-18,225.441,228.508,224.2222,224.5219,622200
2025-12-19,224.472,228.2183,224.472,227.2393,1411800
2025-12-22,226.2502,227.459,224.2722,226.4201,748600
2025-12-23,226.4001,227.7887,224.8915,227.0495,593700
2025-12-24,227.9086,228.9276,225.2512,226.8596,171000
2025-12-26,226.5999,227.539,226.2103,227.4191,247000
2025-12-29,227.489,227.489,223.2232,225.8906,878800
2025-12-30,225.3012,225.8906,223.9624,224.8416,719900
2025-12-31,224.2522,224.7916,217.6586,217.8084,725900
2026-01-02,217.6086,220.2461,214.8913,219.6666,675500
2026-01-05,218.7875,223.8625,216.8094,222.6537,909700
2026-01-06,222.1842,226.0904,220.3759,221.5248,781600
2026-01-07,220.276,221.1352,207.2387,208.1878,1243300
2026-01-08,208.6873,214.2419,207.0788,210.9351,999100
2026-01-09,212.094,214.8813,205.88,206.8291,740500
2026-01-12,205.7002,205.7801,202.4633,205.7601,735500
2026-01-13,205.3006,205.3006,198.657,201.6142,893200
2026-01-14,201.9838,202.4034,197.2584,199.0267,790800
2026-01-15,199.7959,204.1617,197.4282,203.9919,573500
2026-01-16,204.871,204.871,197.5981,199.686,563900
2026-01-20,197.8178,200.0757,195.9197,199.676,698300
2026-01-21,200.9448,204.4214,199.8359,203.4823,567100
2026-01-22,203.2426,205.92,203.2226,205.5104,723200
2026-01-23,203.9719,207.3186,203.4823,204.891,540300
2026-01-26,205.4904,208.4775,204.1018,205.9,691200
2026-01-27,208.0679,213.2229,202.1337,202.4434,559600
2026-01-28,201.3744,203.842,197.628,202.823,949600
2026-01-29,204.1217,204.1217,199.3863,199.9358,441400
2026-01-30,198.5172,201.9338,197.0985,201.0647,519500
2026-02-02,202.9229,204.1617,200.4353,201.6641,519600
2026-02-03,203.6222,208.3077,202.9229,206.7791,615100
2026-02-04,207.2387,210.9351,205.7402,206.2597,701300
2026-02-05,206.4794,217.8084,206.4794,216.2599,797400
2026-02-06,217.7984,220.1362,216.5696,218.3479,739200
2026-02-09,217.7285,220.2061,211.7843,212.7334,398700
2026-02-10,213.2229,214.8413,210.8352,212.5735,429500
2026-02-11,211.6045,231.7749,210.7952,231.0955,1074400
2026-02-12,231.9547,243.6234,230.636,233.8229,1302500
2026-02-13,233.0436,236.6701,228.7278,234.5821,630200
2026-02-17,236.74,240.6962,234.5522,234.8918,587500
2026-02-18,233.9328,237.3295,232.4142,235.0617,686900
2026-02-19,233.1136,234.8519,229.2973,229.7768,577800
2026-02-20,229.3872,231.5251,227.7987,230.2663,783300
2026-02-23,229.6869,233.4233,229.567,232.3743,600400
2026-02-24,231.9947,232.2644,227.2293,229.7568,525300
2026-02-25,231.2454,233.8229,228.1284,230.5061,945000
2026-02-26,219.2171,219.2171,202.6432,204.1317,1807400
2026-02-27,203.802,208.997,203.3025,205.9,1664300
2026-03-02,203.23,208.86,201.8,206.42,698200
2026-03-03,203.29,206.76,200.06,204.85,851200
2026-03-04,204.5,207.17,202.11,202.31,646900
2026-03-05,200.04,200.7,192.47,196.96,1119500
2026-03-06,194.92,195.31,189.02,192.65,736900
2026-03-09,188.49,191.05,181.43,190.53,1157500
2026-03-10,191.03,191.88,186.1,186.53,826000
2026-03-11,184.95,187.57,183.06,186.24,700200
2026-03-12,185.14,194.3,183.18,190.49,1157500
2026-03-13,192.02,195.29,190.95,192.42,856400
2026-03-16,195.07,196.43,193.42,193.47,743300
2026-03-17,194.37,198.99,188.25,193.46,963900
2026-03-18,193.69,195.7,187.03,189.58,874000
2026-03-19,189.17,189.17,185.86,187.22,778400
2026-03-20,185.11,187.39,184.16,185.82,1124600
2026-03-23,187.62,191.4,187.18,188.09,847300
2026-03-24,187.38,188.93,181.81,185.92,694100
2026-03-25,186.31,188.56,182.47,186.72,651800
2026-03-26,185.14,188.4,184.86,185.09,393500
2026-03-27,185.4,185.71,183.57,184.04,581100
2026-03-30,186.2,186.2,181.81,182.1,601800
2026-03-31,183.4,183.83,176.81,178.97,698200
2026-04-01,177.57,180.45,176.21,177.94,743500
2026-04-02,175.14,178.09,173.79,176.7,547000
2026-04-06,176.0,181.52,175.75,181.33,658300
2026-04-07,181.47,183.39,180.0,180.61,514100
2026-04-08,183.47,187.63,182.29,186.76,561900
2026-04-09,185.32,189.45,185.32,187.88,331400
2026-04-10,189.09,189.09,180.77,180.78,464100
2026-04-13,179.51,183.22,177.42,183.2,730900
2026-04-14,182.28,184.01,180.65,181.95,499100
2026-04-15,181.7,182.19,178.7,180.15,500300
2026-04-16,179.46,182.96,178.54,178.73,497500
2026-04-17,178.4,183.49,178.23,182.41,535200
