date,open,high,low,close,volume
2025-05-16,25.6734,25.8473,25.4125,25.8183,2323400
2025-05-19,25.4318,25.7507,25.4125,25.6058,2550700
2025-05-20,25.4608,25.7024,25.2772,25.3255,2871700
2025-05-21,25.1226,25.1806,24.2627,24.3303,4250000
2025-05-22,24.3593,24.5429,24.1274,24.3979,3961700
2025-05-23,24.1081,24.4366,24.0791,24.3786,3343400
2025-05-27,24.7071,24.997,24.4076,24.9584,4214500
2025-05-28,25.026,25.0357,24.7651,25.0163,3801800
2025-05-29,25.0453,25.3545,24.9101,25.1613,3538200
2025-05-30,25.1321,25.3074,24.9665,25.2392,11663800
2025-06-02,24.9859,25.0249,24.7814,25.0054,3076800
2025-06-03,24.7619,25.2587,24.6645,25.1905,3634000
2025-06-04,25.1905,25.6873,25.1321,25.6094,3872800
2025-06-05,25.6289,26.1549,25.3366,26.0088,5811700
2025-06-06,26.2718,26.6419,25.9795,26.038,4794700
2025-06-09,26.1549,26.564,26.038,26.3107,3327200
2025-06-10,26.4276,26.9634,26.3107,26.866,3443900
2025-06-11,26.9731,27.1387,26.5543,26.6517,3030700
2025-06-12,26.5348,26.6712,26.2718,26.5932,2341700
2025-06-13,26.3887,26.6127,25.9406,26.1062,2811600
2025-06-16,26.3692,26.4958,25.999,26.0088,3340900
2025-06-17,26.0088,26.0088,25.1223,25.2002,3323200
2025-06-18,25.2587,25.6289,25.1321,25.2977,2664200
2025-06-20,25.4535,25.7457,25.3464,25.5022,6493300
2025-06-23,25.512,25.9211,25.4438,25.8919,2493400
2025-06-24,25.999,26.1062,25.8237,25.9601,2929300
2025-06-25,25.7068,25.8626,25.3853,25.3951,5057000
2025-06-26,25.5412,25.6873,25.3366,25.6386,3358600
2025-06-27,25.2977,25.5996,25.1028,25.1808,10612000
2025-06-30,25.2587,25.3464,24.8203,25.0249,5887000
2025-07-01,24.8106,26.0282,24.5086,25.5607,5075100
2025-07-02,25.6581,26.1549,25.5704,26.0088,3686000
2025-07-03,26.0088,26.038,25.6094,25.7457,2532900
2025-07-07,25.6873,25.6873,24.8983,24.9762,4820300
2025-07-08,24.8983,25.5801,24.8885,25.4925,9423600
2025-07-09,25.512,25.6581,25.4048,25.473,5318000
2025-07-10,25.473,25.9308,25.4048,25.5022,4519400
2025-07-11,25.5217,25.6873,25.1808,25.6289,3614100
2025-07-14,25.5314,25.5509,25.1515,25.2197,3425600
2025-07-15,25.21,25.3951,24.6742,24.6937,3336000
2025-07-16,24.8788,25.2684,24.7035,25.2295,5694500
2025-07-17,25.2684,25.434,24.9372,25.0152,4674600
2025-07-18,25.0639,25.1028,24.5086,24.6547,5117100
2025-07-21,24.8398,25.0346,24.4015,24.4015,4597900
2025-07-22,24.6158,25.5607,24.5768,25.4925,5988000
2025-07-23,25.4827,25.5704,25.2392,25.2879,5335900
2025-07-24,25.2977,25.3756,24.7814,25.0152,7160400
2025-07-25,24.908,25.9406,24.6937,25.7847,8976900
2025-07-28,25.5509,25.736,25.171,25.21,4402000
2025-07-29,25.1808,25.4827,25.0541,25.2684,3968200
2025-07-30,25.2879,25.6678,24.7424,24.8788,3961900
2025-07-31,24.6937,24.8983,24.3723,24.4015,5651500
2025-08-01,24.5671,24.6742,24.08,24.4307,4684500
2025-08-04,24.4502,24.7522,24.3333,24.6158,3823200
2025-08-05,24.6937,25.2295,24.6353,25.1321,4830600
2025-08-06,25.1418,25.1515,24.869,24.8885,3767800
2025-08-07,25.2587,25.4243,24.8301,25.0444,3248300
2025-08-08,25.0346,25.1613,24.7619,24.8203,2407100
2025-08-11,24.7911,24.947,24.4697,24.6255,3034300
2025-08-12,24.7814,25.0541,24.5963,24.9567,3432400
2025-08-13,25.0152,25.775,24.9665,25.7263,4369200
2025-08-14,25.3658,25.6776,25.249,25.6191,3300900
2025-08-15,25.6191,25.7165,25.1418,25.171,4414200
2025-08-18,25.1905,25.3366,24.9957,25.0152,3207100
2025-08-19,25.1418,25.6873,25.1418,25.6483,3103400
2025-08-20,25.7945,25.7945,25.2392,25.3464,5487100
2025-08-21,25.21,25.21,24.9275,25.1028,2493700
2025-08-22,25.3561,26.2036,25.1808,26.1354,6048700
2025-08-25,26.0672,26.0867,25.6483,25.8139,4280700
2025-08-26,25.736,25.7945,25.434,25.4925,6077700
2025-08-27,25.473,25.7945,25.3658,25.4438,2986500
2025-08-28,25.5217,25.5217,25.0249,25.2782,2811000
2025-08-29,25.3175,25.504,25.2291,25.4058,3311900
2025-09-02,25.0621,25.121,24.355,24.4434,6035100
2025-09-03,24.3452,24.5809,24.2568,24.3747,2815300
2025-09-04,24.5416,25.1112,24.2961,25.0916,3900900
2025-09-05,25.2978,25.8772,25.2291,25.6808,3453200
2025-09-08,25.5532,25.5532,24.9934,25.4844,4886500
2025-09-09,25.3469,25.4157,24.7086,24.8166,2826300
2025-09-10,24.6693,24.905,24.6104,24.6497,4141500
2025-09-11,24.6889,25.6317,24.6889,25.3666,4472400
2025-09-12,25.1996,25.3371,24.4532,24.4532,3710700
2025-09-15,24.5515,24.6791,24.3059,24.3747,3776200
2025-09-16,24.355,24.7086,24.3452,24.4925,4705000
2025-09-17,24.3747,25.1603,24.031,24.0506,4855800
2025-09-18,24.0604,24.3845,24.0408,24.0997,3296500
2025-09-19,24.1095,24.1095,23.5498,23.6676,11569300
2025-09-22,23.7658,23.972,23.7069,23.8247,5395600
2025-09-23,23.864,24.0211,23.7854,23.9426,4357100
2025-09-24,24.0604,24.5809,24.0408,24.1684,4480900
2025-09-25,24.0604,24.3943,23.6381,23.7363,4208800
2025-09-26,23.7363,24.1685,23.6578,24.0997,3936200
2025-09-29,24.1881,24.4238,23.9033,24.414,5111100
2025-09-30,24.5023,24.8952,24.1488,24.3452,5465100
2025-10-01,24.4041,24.5907,24.2863,24.5023,3650300
2025-10-02,24.4729,24.5613,24.0801,24.4827,3593300
2025-10-03,24.5416,24.8461,24.5318,24.6693,2943500
2025-10-06,24.6104,24.6497,24.3158,24.5122,3680500
2025-10-07,24.5318,24.7282,23.9328,23.9819,4592700
2025-10-08,23.8935,24.2961,23.6381,24.2568,3475100
2025-10-09,24.1586,24.2863,23.8247,24.0015,2637300
2025-10-10,24.1095,24.1685,23.4908,23.5007,3236500
2025-10-13,23.5694,23.6971,23.2944,23.5007,4196700
2025-10-14,23.3337,23.7069,23.1176,23.4712,6405800
2025-10-15,23.5399,24.0604,23.3042,23.3042,6030000
2025-10-16,23.3042,23.6087,23.0685,23.2257,5942000
2025-10-17,23.2846,23.5596,23.0194,23.1667,3828100
2025-10-20,23.2944,23.3828,22.8132,22.882,3867600
2025-10-21,22.8721,23.4908,22.8525,23.2846,4503400
2025-10-22,23.1668,23.4908,23.098,23.1864,3156800
2025-10-23,23.1275,23.4515,22.8721,23.4221,4532700
2025-10-24,23.5399,23.6774,23.2748,23.4614,3461800
2025-10-27,23.5399,23.6185,23.3337,23.589,3251000
2025-10-28,23.5007,23.5007,23.2159,23.3141,3812000
2025-10-29,23.1864,23.2846,22.7052,22.7837,10319700
2025-10-30,22.6561,23.2944,22.5579,23.0882,9473000
2025-10-31,22.9703,22.9703,22.1651,22.5873,13166300
2025-11-03,22.3124,22.4891,22.0374,22.1061,8750300
2025-11-04,22.0668,22.2436,21.8901,22.1847,5685100
2025-11-05,22.1749,22.2436,21.9294,22.0767,7422500
2025-11-06,22.0472,22.5382,22.0177,22.4204,6740000
2025-11-07,22.4891,22.823,22.3615,22.6659,6547900
2025-11-10,22.5579,22.5677,22.0177,22.2731,7552400
2025-11-11,22.4204,22.5873,22.2731,22.332,3797500
2025-11-12,22.224,22.4106,22.0374,22.0472,6965800
2025-11-13,21.9686,22.3025,21.8803,22.0374,6504500
2025-11-14,21.9588,22.0472,21.7133,21.7329,6338200
2025-11-17,21.6642,21.7035,21.1044,21.1241,5797700
2025-11-18,21.0946,21.2517,20.8589,21.183,6615800
2025-11-19,21.1928,21.2419,20.7803,20.9669,5866000
2025-11-20,21.0357,21.2812,20.9669,20.9866,5647000
2025-11-21,21.0848,21.7428,21.0259,21.3892,6885900
2025-11-24,21.4481,21.4481,21.0062,21.1241,7799600
2025-11-25,21.3205,21.782,21.2419,21.7428,4855300
2025-11-26,21.6151,22.1159,21.6151,21.8606,5439500
2025-11-28,21.8507,22.2175,21.8408,22.0192,3648900
2025-12-01,21.7615,22.277,21.6822,21.93,7107800
2025-12-02,21.9895,22.049,21.583,21.702,5232900
2025-12-03,21.7615,21.9895,21.6425,21.6822,4806800
2025-12-04,21.6028,21.6921,21.0377,21.2162,4741800
2025-12-05,21.2757,21.8606,21.2757,21.5037,7305600
2025-12-08,21.9003,22.4852,21.821,22.0886,11331600
2025-12-09,22.0292,22.1779,21.7516,21.93,7622300
2025-12-10,22.0391,22.9115,22.0192,22.8322,9505100
2025-12-11,23.1494,23.5559,22.9313,23.0007,8716800
2025-12-12,23.1792,23.3477,23.0701,23.1891,11772600
2025-12-15,23.437,23.437,22.8124,23.1494,7158300
2025-12-16,23.2089,23.2288,22.743,23.08,8033600
2025-12-17,23.2982,23.7542,23.1792,23.5262,10747200
2025-12-18,23.6253,23.6253,23.2188,23.3973,8374000
2025-12-19,23.546,23.6551,23.2585,23.2783,12427500
2025-12-22,23.199,23.5658,23.1197,23.5064,8405500
2025-12-23,23.4865,23.4964,23.2188,23.3477,5226800
2025-12-24,23.4171,23.5956,23.3973,23.5559,1935800
2025-12-26,23.6055,23.7146,23.4072,23.5361,3510600
2025-12-29,23.5758,23.6749,23.4171,23.6055,3841600
2025-12-30,23.546,23.8533,23.4766,23.784,3495800
2025-12-31,23.7146,23.784,23.4667,23.4865,4614400
2026-01-02,23.5262,23.7839,23.3477,23.5956,4817400
2026-01-05,23.6253,24.5077,23.5956,24.0516,9207300
2026-01-06,23.9128,24.1409,23.7046,23.784,8103400
2026-01-07,23.8633,23.9227,22.9214,22.9809,6872500
2026-01-08,22.8025,24.0219,22.6934,23.784,9045200
2026-01-09,23.8335,25.5982,23.8335,25.509,11410200
2026-01-12,25.4396,25.6478,25.1521,25.5288,8160300
2026-01-13,25.4297,25.5982,24.9836,25.2314,5306500
2026-01-14,25.3603,26.4013,25.2314,26.3914,9647100
2026-01-15,26.4211,26.6789,26.0939,26.5698,9058600
2026-01-16,26.4508,27.1052,26.4508,26.8276,10374100
2026-01-20,26.5797,26.7978,26.4508,26.7284,6598300
2026-01-21,27.0358,27.1944,26.6789,26.8375,7825900
2026-01-22,26.8772,27.3629,26.5401,26.5599,13419700
2026-01-23,26.4905,26.6392,26.2327,26.4409,7373200
2026-01-26,26.7384,26.7879,26.3418,26.3715,6527200
2026-01-27,26.2625,26.3814,25.8758,26.0047,8168200
2026-01-28,25.9452,26.1138,25.6974,25.8263,5893700
2026-01-29,26.0146,26.1534,25.5288,25.7073,7812400
2026-01-30,25.6181,25.856,24.4383,25.5586,10094100
2026-02-02,25.6875,25.8758,25.2413,25.6181,10540000
2026-02-03,25.4892,26.6095,25.2909,26.4508,9094300
2026-02-04,26.4508,26.8078,26.2625,26.4707,9488100
2026-02-05,26.4905,26.7284,26.2823,26.4806,5850200
2026-02-06,26.6392,26.8375,26.1733,26.4112,6153100
2026-02-09,26.4112,26.6194,26.1435,26.431,4863200
2026-02-10,26.5103,26.9466,26.2922,26.7086,6147900
2026-02-11,26.8573,27.2836,26.5202,26.8672,6912600
2026-02-12,27.2638,27.5117,26.7582,26.8078,7104100
2026-02-13,27.1448,27.3134,26.4013,26.5202,6917500
2026-02-17,26.6095,26.8772,26.312,26.6491,5061100
2026-02-18,26.5302,26.7483,25.8857,26.0444,4743400
2026-02-19,25.975,26.0543,25.2711,25.3306,4641300
2026-02-20,25.3306,25.4396,24.8448,25.0629,5084800
2026-02-23,25.39,25.4892,24.6861,24.9142,4711200
2026-02-24,24.8348,24.934,24.3887,24.6762,5142700
2026-02-25,24.6861,24.7258,23.8633,24.1508,5700200
2026-02-26,24.1904,24.4284,23.9327,24.3094,6174900
2026-02-27,23.9624,24.3391,23.8236,24.3193,7837100
2026-03-02,24.2499,24.6366,24.0615,24.4085,6654900
2026-03-03,24.0417,24.6663,23.8533,24.5573,8479400
2026-03-04,24.6564,24.7555,24.3689,24.6068,4711700
2026-03-05,24.4779,24.6267,24.2598,24.4185,8710600
2026-03-06,24.2301,24.3193,23.8137,24.2896,6407500
2026-03-09,24.012,24.3689,23.6154,24.24,7571800
2026-03-10,24.26,24.35,23.94,24.18,7026600
2026-03-11,24.06,24.21,23.22,23.23,7246400
2026-03-12,23.02,23.38,22.93,23.03,7272800
2026-03-13,23.26,23.49,23.19,23.46,5432500
2026-03-16,23.66,23.81,23.55,23.73,4305800
2026-03-17,23.98,24.22,23.79,24.09,3708300
2026-03-18,23.94,23.97,23.42,23.43,4436300
2026-03-19,23.34,23.39,22.82,22.96,6447400
2026-03-20,22.93,23.04,22.41,22.47,8903200
2026-03-23,22.78,23.44,22.74,23.16,5768200
2026-03-24,23.07,23.88,23.0,23.54,4609200
2026-03-25,23.83,23.89,23.29,23.65,3604700
2026-03-26,23.53,23.87,23.37,23.6,4186000
2026-03-27,23.49,23.92,23.35,23.86,6600400
2026-03-30,23.98,24.67,23.92,24.28,6985000
2026-03-31,24.55,24.68,24.24,24.43,5631100
2026-04-01,24.28,24.56,24.13,24.2,3590500
2026-04-02,24.25,24.65,24.06,24.43,3208300
2026-04-06,24.3,24.5,24.12,24.2,3135700
2026-04-07,24.04,24.12,23.82,24.02,3616600
2026-04-08,24.54,25.07,24.54,24.9,3955400
2026-04-09,24.73,25.07,24.56,24.82,3160900
2026-04-10,24.71,25.07,24.53,24.64,3719000
2026-04-13,24.65,24.86,24.32,24.82,3344900
2026-04-14,24.88,24.98,24.69,24.78,2739200
2026-04-15,24.78,24.78,24.2,24.21,4434000
2026-04-16,24.2,24.43,23.88,24.36,6503100
2026-04-17,24.48,25.19,24.48,25.17,6861100
2026-04-20,25.04,25.575,24.88,25.44,4928540
